,CO_CURSO,NO_CURSO,ANO_INGRESSO,ANO_REFERENCIA,QT_INGRESSANTES,QT_PERMANENCIA,QT_CONCLUINTES,QT_DESISTENTES,TAP,TCA,TDA,TCAN,TADA,DURACAO,ANO_INTEGRALIZACAO
112,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2015,2015,118,118,0,0,100.0,0.0,0.0,0.0,0.0,5,2019
113,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2015,2016,118,117,1,0,99.07407407333334,0.925925926,0.0,0.925925926,0.0,5,2019
114,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2015,2017,118,114,0,3,95.86466165333333,0.925925926,3.2094124199999996,0.0,3.2094124199999996,5,2019
115,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2015,2018,118,97,10,7,77.93093845666667,10.686438316666667,11.382623225000001,9.760512391,8.173210803666667,5,2019
116,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2015,2019,118,60,34,3,51.86577555,35.16429963666666,12.969924812333334,24.47786132,1.5873015873333334,5,2019
117,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2015,2020,118,41,19,0,39.03508772,47.994987466666664,12.969924812333334,12.830687830000002,0.0,5,2019
118,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2015,2021,118,32,9,0,29.80367585333333,57.22639933,12.969924812333334,9.231411861666666,0.0,5,2019
119,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2016,2016,114,114,0,0,100.0,0.0,0.0,0.0,0.0,5,2020
120,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2016,2017,114,114,0,0,100.0,0.0,0.0,0.0,0.0,5,2020
121,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2016,2018,114,108,1,5,88.96224008,4.166666666666667,6.871093251666667,4.166666666666667,6.871093251666667,5,2020
122,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2016,2019,114,101,5,2,80.73893353666666,7.368605689333333,11.892460773000002,3.2019390226666666,5.0213675213333335,5,2020
123,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2016,2020,114,73,27,1,58.04152315333334,29.21131522,12.747161628999999,21.842709530666667,0.8547008546666667,5,2020
124,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2016,2021,114,58,13,2,48.792894499999996,37.10773058,14.09937492,7.896415359999999,1.3522132923333334,5,2020
125,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2017,2017,136,136,0,0,100.0,0.0,0.0,0.0,0.0,5,2021
126,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2017,2018,136,136,0,0,100.0,0.0,0.0,0.0,0.0,5,2021
127,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2017,2019,136,133,2,1,96.40700483333335,2.8985507246666664,0.6944444443333334,2.8985507246666664,0.6944444443333334,5,2021
128,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2017,2020,136,120,12,1,85.63127090333334,12.979840207666667,1.3888888890000002,10.081289484333332,0.6944444443333334,5,2021
129,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2017,2021,136,102,18,0,72.10981048000001,26.501300631000003,1.3888888890000002,13.521460423333332,0.0,5,2021
130,23972,COMUNICAÇÃO SOCIAL 2010 2018,2010,2010,459,452,0,7,96.64723830386482,0.0,3.3527616961351905,0.0,3.3527616961351905,5,2014
131,23972,COMUNICAÇÃO SOCIAL 2010 2018,2010,2011,459,413,2,37,85.29596535368673,0.847024461482292,13.857010184830992,0.847024461482292,10.504248488695774,5,2014
132,23972,COMUNICAÇÃO SOCIAL 2010 2018,2010,2012,459,344,47,22,60.71059905019318,18.81343556042352,20.475965389383322,17.96641109894122,6.618955204552352,5,2014
133,23972,COMUNICAÇÃO SOCIAL 2010 2018,2010,2013,459,200,21,123,15.20912547528518,20.410393735328462,64.38048078938637,1.596958174904944,43.90451540000307,5,2014
134,23972,COMUNICAÇÃO SOCIAL 2010 2018,2010,2014,459,0,0,200,0.0,20.410393735328462,79.58960626467153,0.0,15.20912547528518,5,2014
135,23972,COMUNICAÇÃO SOCIAL 2010 2018,2010,2015,459,0,0,0,0.0,20.410393735328462,79.58960626467153,0.0,0.0,5,2014
136,23972,COMUNICAÇÃO SOCIAL 2010 2018,2010,2016,459,0,0,0,0.0,20.410393735328462,79.58960626467153,0.0,0.0,5,2014
137,23972,COMUNICAÇÃO SOCIAL 2010 2018,2010,2017,459,0,0,0,0.0,20.410393735328462,79.58960626467153,0.0,0.0,5,2014
138,23972,COMUNICAÇÃO SOCIAL 2010 2018,2010,2018,459,0,0,0,0.0,20.410393735328462,79.58960626467153,0.0,0.0,5,2014
139,23972,COMUNICAÇÃO SOCIAL 2010 2018,2010,2019,459,0,0,0,0.0,20.410393735328462,79.58960626467153,0.0,0.0,5,2014
140,23972,COMUNICAÇÃO SOCIAL 2010 2018,2011,2011,416,414,0,2,99.850187266,0.0,0.149812734,0.0,0.149812734,5,2015
141,23972,COMUNICAÇÃO SOCIAL 2010 2018,2011,2012,416,390,0,24,86.71083215,0.0,13.2891678512,0.0,13.139355117200001,5,2015
142,23972,COMUNICAÇÃO SOCIAL 2010 2018,2011,2013,416,237,3,150,18.0968234144,0.2247191012,81.678457484,0.2247191012,68.3892896318,5,2015
143,23972,COMUNICAÇÃO SOCIAL 2010 2018,2011,2014,416,1,0,236,0.24691358019999998,0.2247191012,99.52836731800001,0.0,17.8499098342,5,2015
144,23972,COMUNICAÇÃO SOCIAL 2010 2018,2011,2015,416,1,0,0,0.24691358019999998,0.2247191012,99.52836731800001,0.0,0.0,5,2015
145,23972,COMUNICAÇÃO SOCIAL 2010 2018,2011,2016,416,1,0,0,0.24691358019999998,0.2247191012,99.52836731800001,0.0,0.0,5,2015
146,23972,COMUNICAÇÃO SOCIAL 2010 2018,2011,2017,416,1,0,0,0.24691358019999998,0.2247191012,99.52836731800001,0.0,0.0,5,2015
147,23972,COMUNICAÇÃO SOCIAL 2010 2018,2011,2018,416,1,0,0,0.24691358019999998,0.2247191012,99.52836731800001,0.0,0.0,5,2015
148,23972,COMUNICAÇÃO SOCIAL 2010 2018,2011,2019,416,0,0,1,0.0,0.2247191012,99.775280898,0.0,0.24691358019999998,5,2015
149,23972,COMUNICAÇÃO SOCIAL 2010 2018,2011,2020,416,0,0,0,0.0,0.2247191012,99.775280898,0.0,0.0,5,2015
150,23972,COMUNICAÇÃO SOCIAL 2010 2018,2012,2012,473,472,0,1,99.922178988,0.0,0.0778210116,0.0,0.0778210116,5,2016
151,23972,COMUNICAÇÃO SOCIAL 2010 2018,2012,2013,473,448,2,22,98.054474708,0.1556420234,1.7898832684,0.1556420234,1.7120622568000001,5,2016
