NU_ANO_CENSO,NO_CURSO,CO_CURSO,IN_COMUNITARIA,IN_CONFESSIONAL,DURACAO,CENTRO,QT_MAT_AMPLA,QT_ING_AMPLA,QT_CONC_AMPLA,EVASAO,RETENCAO,SUCESSO,EVASAO_PUBLICA_TOTAL,RETENCAO_PUBLICA_TOTAL,SUCESSO_PUBLICA_TOTAL,EVASAO_PRIVADA_TOTAL,RETENCAO_PRIVADA_TOTAL,SUCESSO_PRIVADA_TOTAL,EVASAO_NAO INFORMADA_TOTAL,RETENCAO_NAO INFORMADA_TOTAL,SUCESSO_NAO INFORMADA_TOTAL,EVASAO_ETNICO_TOTAL,RETENCAO_ETNICO_TOTAL,SUCESSO_ETNICO_TOTAL,EVASAO_REDE PUBLICA_TOTAL,RETENCAO_REDE PUBLICA_TOTAL,SUCESSO_REDE PUBLICA_TOTAL,EVASAO_SOCIAL_TOTAL,RETENCAO_SOCIAL_TOTAL,SUCESSO_SOCIAL_TOTAL,EVASAO_AMPLA_TOTAL,RETENCAO_AMPLA_TOTAL,SUCESSO_AMPLA_TOTAL,EVASAO_BRANCA_TOTAL,RETENCAO_BRANCA_TOTAL,SUCESSO_BRANCA_TOTAL,EVASAO_PRETA_TOTAL,RETENCAO_PRETA_TOTAL,SUCESSO_PRETA_TOTAL,EVASAO_PARDA_TOTAL,RETENCAO_PARDA_TOTAL,SUCESSO_PARDA_TOTAL,EVASAO_MASCULINO_TOTAL,RETENCAO_MASCULINO_TOTAL,SUCESSO_MASCULINO_TOTAL,EVASAO_FEMININO_TOTAL,RETENCAO_FEMININO_TOTAL,SUCESSO_FEMININO_TOTAL,QT_MAT,QT_ING,QT_CONC
2009,MUSICA - VIOLAO,45142,,,4.0,CLA,37.0,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,9.0,4.0
2009,MUSICA - VIOLINO,45136,,,4.0,CLA,15.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,5.0,1.0
2009,NUTRICAO,14360,,,4.0,CCS,370.0,94.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.0,94.0,73.0
2009,ODONTOLOGIA,14361,,,4.0,CCS,354.0,86.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.0,86.0,57.0
2009,PEDAGOGIA,14349,,,5.0,CFCH,396.0,133.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.0,133.0,1.0
2009,PINTURA,14339,,,4.0,CLA,241.0,40.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.0,40.0,33.0
2009,PSICOLOGIA,14356,,,4.0,CFCH,751.0,164.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751.0,164.0,130.0
2009,QUIMICA,14332,,,5.0,CCMN,258.0,61.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.0,61.0,19.0
2009,QUIMICA - LICENCIATURA,45204,,,5.0,CCMN,268.0,61.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.0,61.0,46.0
2009,QUIMICA INDUSTRIAL,14379,,,5.0,CT,143.0,44.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,44.0,3.0
