CO_CURSO,NO_CURSO,ANO_INGRESSO,ANO_REFERENCIA,DURACAO,ANO_INTEGRALIZACAO,QT_INGRESSANTES,QT_PERMANENCIA,QT_CONCLUINTES,QT_DESISTENTES,TAP,TCA,TDA,TCAN,TADA
14337,COMPOSIÇÃO DE INTERIOR,2017,2017,5,2021,30,30,0,0,100.0,0.0,0.0,0.0,0.0
14337,COMPOSIÇÃO DE INTERIOR,2017,2018,5,2021,30,28,0,2,93.33333333,0.0,6.666666667,0.0,6.666666667
14337,COMPOSIÇÃO DE INTERIOR,2017,2019,5,2021,30,25,0,3,83.33333333,0.0,16.66666667,0.0,10.0
14337,COMPOSIÇÃO DE INTERIOR,2017,2020,5,2021,30,24,0,1,80.0,0.0,20.0,0.0,3.333333333
14337,COMPOSIÇÃO DE INTERIOR,2017,2021,5,2021,30,17,7,0,56.66666667,23.33333333,20.0,23.33333333,0.0
14338,PAISAGISMO,2017,2017,5,2021,20,18,0,2,90.0,0.0,10.0,0.0,10.0
14338,PAISAGISMO,2017,2018,5,2021,20,16,0,2,80.0,0.0,20.0,0.0,10.0
14338,PAISAGISMO,2017,2019,5,2021,20,13,0,3,65.0,0.0,35.0,0.0,15.0
14338,PAISAGISMO,2017,2020,5,2021,20,10,1,2,50.0,5.0,45.0,5.0,10.0
14338,PAISAGISMO,2017,2021,5,2021,20,10,0,0,50.0,5.0,45.0,0.0,0.0
14339,PINTURA,2017,2017,5,2021,51,50,0,1,98.03921569,0.0,1.960784314,0.0,1.960784314
14339,PINTURA,2017,2018,5,2021,51,46,0,4,90.19607843,0.0,9.803921569,0.0,7.843137255
14339,PINTURA,2017,2019,5,2021,51,42,0,4,82.35294118,0.0,17.64705882,0.0,7.843137255
14339,PINTURA,2017,2020,5,2021,51,40,0,2,78.43137255,0.0,21.56862745,0.0,3.921568627
14339,PINTURA,2017,2021,5,2021,51,38,0,2,74.50980392,0.0,25.49019608,0.0,3.921568627
14340,ARTES VISUAIS - GRAVURA,2017,2017,5,2021,24,21,0,3,87.5,0.0,12.5,0.0,12.5
14340,ARTES VISUAIS - GRAVURA,2017,2018,5,2021,24,20,0,1,83.33333333,0.0,16.66666667,0.0,4.166666667
14340,ARTES VISUAIS - GRAVURA,2017,2019,5,2021,24,18,0,2,75.0,0.0,25.0,0.0,8.333333333
14340,ARTES VISUAIS - GRAVURA,2017,2020,5,2021,24,16,1,1,66.66666667,4.166666667,29.16666667,4.166666667,4.166666667
14340,ARTES VISUAIS - GRAVURA,2017,2021,5,2021,24,13,3,0,54.16666667,16.66666667,29.16666667,12.5,0.0
14346,FILOSOFIA,2017,2017,5,2021,31,31,0,0,100.0,0.0,0.0,0.0,0.0
14346,FILOSOFIA,2017,2018,5,2021,31,30,0,1,96.77419355,0.0,3.225806452,0.0,3.225806452
14346,FILOSOFIA,2017,2019,5,2021,31,28,1,1,90.32258065,3.225806452,6.451612903,3.225806452,3.225806452
14346,FILOSOFIA,2017,2020,5,2021,31,27,1,0,87.09677419,6.451612903,6.451612903,3.225806452,0.0
14346,FILOSOFIA,2017,2021,5,2021,31,21,6,0,67.74193548,25.80645161,6.451612903,19.35483871,0.0
14348,CIÊNCIAS SOCIAIS,2017,2017,5,2021,70,66,0,4,94.28571429,0.0,5.714285714,0.0,5.714285714
14348,CIÊNCIAS SOCIAIS,2017,2018,5,2021,70,52,1,13,74.28571429,1.428571429,24.28571429,1.428571429,18.57142857
14348,CIÊNCIAS SOCIAIS,2017,2019,5,2021,70,40,4,8,57.14285714,7.142857143,35.71428571,5.714285714,11.42857143
14348,CIÊNCIAS SOCIAIS,2017,2020,5,2021,70,24,14,2,34.28571429,27.14285714,38.57142857,20.0,2.857142857
14348,CIÊNCIAS SOCIAIS,2017,2021,5,2021,70,14,4,6,20.0,32.85714286,47.14285714,5.714285714,8.571428571
14349,PEDAGOGIA,2017,2017,5,2021,162,158,0,4,97.5308642,0.0,2.469135802,0.0,2.469135802
14349,PEDAGOGIA,2017,2018,5,2021,162,137,0,21,84.56790123,0.0,15.43209877,0.0,12.96296296
14349,PEDAGOGIA,2017,2019,5,2021,162,120,0,17,74.07407407,0.0,25.92592593,0.0,10.49382716
14349,PEDAGOGIA,2017,2020,5,2021,162,119,0,1,73.45679012,0.0,26.54320988,0.0,0.617283951
14349,PEDAGOGIA,2017,2021,5,2021,162,104,12,3,64.19753086,7.407407407,28.39506173,7.407407407,1.851851852
14350,ENGENHARIA ELÉTRICA,2017,2017,6,2022,95,89,0,6,93.68421053,0.0,6.315789474,0.0,6.315789474
14350,ENGENHARIA ELÉTRICA,2017,2018,6,2022,95,83,0,6,87.36842105,0.0,12.63157895,0.0,6.315789474
14350,ENGENHARIA ELÉTRICA,2017,2019,6,2022,95,70,1,12,73.68421053,1.052631579,25.26315789,1.052631579,12.63157895
14350,ENGENHARIA ELÉTRICA,2017,2020,6,2022,95,65,0,5,68.42105263,1.052631579,30.52631579,0.0,5.263157895
14350,ENGENHARIA ELÉTRICA,2017,2021,6,2022,95,64,0,1,67.36842105,1.052631579,31.57894737,0.0,1.052631579
14351,ENGENHARIA CIVIL,2017,2017,6,2022,134,130,0,4,97.01492537,0.0,2.985074627,0.0,2.985074627
14351,ENGENHARIA CIVIL,2017,2018,6,2022,134,117,1,12,87.31343284,0.746268657,11.94029851,0.746268657,8.955223881
14351,ENGENHARIA CIVIL,2017,2019,6,2022,134,109,2,6,81.34328358,2.23880597,16.41791045,1.492537313,4.47761194
14351,ENGENHARIA CIVIL,2017,2020,6,2022,134,99,5,5,73.88059701,5.970149254,20.14925373,3.731343284,3.731343284
14351,ENGENHARIA CIVIL,2017,2021,6,2022,134,75,21,3,55.97014925,21.64179104,22.3880597,15.67164179,2.23880597
14352,ENGENHARIA DE PRODUÇÃO,2017,2017,6,2022,89,84,1,4,94.38202247,1.123595506,4.494382022,1.123595506,4.494382022
14352,ENGENHARIA DE PRODUÇÃO,2017,2018,6,2022,89,78,0,6,87.64044944,1.123595506,11.23595506,0.0,6.741573034
14352,ENGENHARIA DE PRODUÇÃO,2017,2019,6,2022,89,70,3,5,78.65168539,4.494382022,16.85393258,3.370786517,5.617977528
14352,ENGENHARIA DE PRODUÇÃO,2017,2020,6,2022,89,60,10,0,67.41573034,15.73033708,16.85393258,11.23595506,0.0
14352,ENGENHARIA DE PRODUÇÃO,2017,2021,6,2022,89,47,11,2,52.80898876,28.08988764,19.1011236,12.35955056,2.247191011
14353,ENGENHARIA METALÚRGICA,2017,2017,6,2022,39,24,0,15,61.53846154,0.0,38.46153846,0.0,38.46153846
14353,ENGENHARIA METALÚRGICA,2017,2018,6,2022,39,18,0,6,46.15384615,0.0,53.84615385,0.0,15.38461538
14353,ENGENHARIA METALÚRGICA,2017,2019,6,2022,39,13,0,5,33.33333333,0.0,66.66666667,0.0,12.82051282
14353,ENGENHARIA METALÚRGICA,2017,2020,6,2022,39,13,0,0,33.33333333,0.0,66.66666667,0.0,0.0
